"Cell Potential[V]", "Cell Current[A]"
-0.00037784093,  5.5938642E-6
-0.0024196271,  1.5729985E-5
-0.0044416562,  1.4074970E-5
-0.0064585404,  1.2771844E-5
-0.0084534025,  1.1738077E-5
-0.010435077,  1.0872349E-5
-0.012478812,  1.0146985E-5
-0.014455435,  9.5352942E-6
-0.016174499,  9.0711709E-6
-0.018179577,  8.5271570E-6
-0.020141546,  8.1508559E-6
-0.022181343,  7.7322246E-6
-0.024186276,  7.4199515E-6
-0.026208591,  7.0910277E-6
-0.028202830,  6.8405461E-6
-0.030204474,  6.5928061E-6
-0.032206378,  6.3620907E-6
-0.034215620,  6.1511810E-6
-0.036218094,  5.9204358E-6
-0.038194571,  5.8030679E-6
-0.039939588,  5.6840212E-6
-0.041908509,  5.4891004E-6
-0.043922701,  5.3156862E-6
-0.045928811,  5.1762201E-6
-0.048932664,  5.0306545E-6
-0.051775261,  4.9150203E-6
-0.053834730,  4.7773076E-6
-0.055910904,  4.6651739E-6
-0.057924994,  4.5543743E-6
-0.059916453,  4.4691414E-6
-0.061913993,  4.3599672E-6
-0.063947728,  4.2485000E-6
-0.065794048,  4.2462218E-6
-0.067702484,  4.0775143E-6
-0.069669243,  4.0384582E-6
-0.071652202,  3.8860219E-6
-0.073661604,  3.8289907E-6
-0.075799438,  3.7206677E-6
-0.077845710,  3.6589596E-6
-0.079849730,  3.5989263E-6
-0.081770068,  3.5178761E-6
-0.083830229,  3.4223620E-6
-0.085826149,  3.3144378E-6
-0.087867699,  3.2636150E-6
-0.089727265,  3.2694396E-6
-0.091539303,  3.1653418E-6
-0.093548509,  3.0682531E-6
-0.095625921,  3.0013075E-6
-0.097720665,  2.9044899E-6
-0.099683589,  2.8951086E-6
-0.10170116,  2.7663884E-6
-0.10373435,  2.7162832E-6
-0.10570144,  2.6155434E-6
-0.10776669,  2.5684320E-6
-0.10976218,  2.5231566E-6
-0.11174371,  2.4253141E-6
-0.11376417,  2.3866893E-6
-0.11548305,  2.3766540E-6
-0.11756129,  2.2822474E-6
-0.11957048,  2.1884473E-6
-0.12180293,  2.1237713E-6
-0.12423042,  2.0081737E-6
-0.12639905,  1.9454928E-6
-0.12856308,  1.8820840E-6
-0.13038504,  1.8387978E-6
-0.13264278,  1.7450365E-6
-0.13469054,  1.6755393E-6
-0.13666340,  1.6072206E-6
-0.13873584,  1.5601868E-6
-0.14041585,  1.6222200E-6
-0.14252494,  1.4585188E-6
-0.14464908,  1.3976219E-6
-0.14637607,  1.2971260E-6
-0.14855581,  1.2812108E-6
-0.15045053,  1.1963086E-6
-0.15253352,  1.1505627E-6
-0.15288684,  1.0207761E-6
-0.15463192,  9.6053233E-7
-0.15640618,  1.2591891E-6
-0.15858231,  9.5488878E-7
-0.16069420,  8.9263618E-7
-0.16252326,  9.1317107E-7
-0.16446339,  8.2724592E-7
-0.16628505,  7.4121369E-7
-0.16855018,  7.0566234E-7
-0.17057893,  6.2056819E-7
-0.17242347,  6.0472242E-7
-0.17459436,  5.0593743E-7
-0.17649094,  4.9413915E-7
-0.17859592,  4.3598569E-7
-0.18081055,  3.7775751E-7
-0.18255601,  3.3497632E-7
-0.18478457,  2.8783255E-7
-0.18666397,  3.2710938E-7
-0.18827264,  2.4678238E-7
-0.19053094,  1.9498239E-7
-0.19229843,  1.4646486E-7
-0.19452006,  1.1437564E-7
-0.19663372,  5.1994626E-8
-0.19830239,  5.6487952E-8
-0.20059816,  -2.7705705E-8
-0.20248863,  -4.4251505E-8
-0.20470286,  -7.5181445E-8
-0.20682442,  -1.1147836E-7
-0.20849097,  -1.4682855E-7
-0.21078661,  -1.5072125E-7
-0.21246615,  -1.2066353E-7
-0.21441069,  -2.1284862E-7
-0.21652650,  -2.2036780E-7
-0.21828699,  -2.8158508E-7
-0.22054102,  -2.8355357E-7
-0.22262453,  -3.4407033E-7
-0.22444974,  -3.2655162E-7
-0.22658224,  -3.8728966E-7
-0.22841777,  -4.0426300E-7
-0.23059622,  -4.2391767E-7
-0.23269312,  -4.4805345E-7
-0.23441687,  -4.6524107E-7
-0.23641217,  -4.0631086E-7
-0.23833581,  -4.6719554E-7
-0.24025474,  -5.2381576E-7
-0.24234861,  -5.1620332E-7
-0.24427173,  -5.6916871E-7
-0.24649445,  -5.6369815E-7
-0.24854719,  -6.0710549E-7
-0.25038747,  -6.0112521E-7
-0.25251462,  -6.4970443E-7
-0.25433383,  -6.4572888E-7
-0.25654858,  -6.6985621E-7
-0.25861092,  -7.0165363E-7
-0.26016607,  -6.3538211E-7
-0.26229171,  -6.9755640E-7
-0.26435381,  -7.1331736E-7
-0.26617903,  -7.5069757E-7
-0.26834103,  -7.5861238E-7
-0.27016684,  -7.9670500E-7
-0.27240366,  -7.8571541E-7
-0.27447459,  -8.2946667E-7
-0.27623398,  -8.1820089E-7
-0.27839220,  -8.5270678E-7
-0.28023230,  -8.6997153E-7
-0.28246760,  -8.8467704E-7
-0.28456473,  -8.4723483E-7
-0.28596895,  -8.7012413E-7
-0.28822570,  -9.2123246E-7
-0.29024391,  -9.2167875E-7
-0.29213654,  -9.6837666E-7
-0.29423938,  -9.5883159E-7
-0.29603870,  -1.0020612E-6
-0.29832357,  -9.9359318E-7
-0.30038275,  -1.0412687E-6
-0.30212168,  -1.0317148E-6
-0.30433077,  -1.0676129E-6
-0.30618250,  -1.0783787E-6
-0.30834631,  -1.0949929E-6
-0.31008524,  -1.0380979E-6
-0.31185435,  -1.0976961E-6
-0.31408736,  -1.1459176E-6
-0.31609082,  -1.1288832E-6
-0.31799668,  -1.1811116E-6
-0.32009056,  -1.1874156E-6
-0.32193925,  -1.2144187E-6
-0.32415712,  -1.2206522E-6
-0.32629239,  -1.2527461E-6
-0.32803718,  -1.2620466E-6
-0.33023398,  -1.2857113E-6
-0.33207415,  -1.2960910E-6
-0.33409622,  -1.2478167E-6
-0.33601441,  -1.3082259E-6
-0.33773054,  -1.3342674E-6
-0.33997057,  -1.3650068E-6
-0.34200214,  -1.3762693E-6
-0.34386073,  -1.4068318E-6
-0.34602314,  -1.4063136E-6
-0.34789755,  -1.4451269E-6
-0.35013258,  -1.4517005E-6
-0.35223123,  -1.4932613E-6
-0.35397515,  -1.4901020E-6
-0.35612926,  -1.5199448E-6
-0.35790307,  -1.4760770E-6
-0.35983095,  -1.5153773E-6
-0.36191428,  -1.5648461E-6
-0.36367050,  -1.5747353E-6
-0.36591429,  -1.6069094E-6
-0.36791259,  -1.6131832E-6
-0.36978625,  -1.6499855E-6
-0.37191987,  -1.6566931E-6
-0.37376599,  -1.6967927E-6
-0.37594573,  -1.6937598E-6
-0.37804329,  -1.7272294E-6
-0.37978384,  -1.7315201E-6
-0.38197238,  -1.7325244E-6
-0.38364266,  -1.7418650E-6
-0.38560467,  -1.7719642E-6
-0.38778355,  -1.8074402E-6
-0.38956238,  -1.8144205E-6
-0.39184884,  -1.8632384E-6
-0.39383449,  -1.8539059E-6
-0.39574514,  -1.8919392E-6
-0.39783250,  -1.8917401E-6
-0.39962298,  -1.9318216E-6
-0.40185705,  -1.9435906E-6
-0.40394641,  -1.9741554E-6
-0.40566744,  -1.9793164E-6
-0.40751918,  -1.9272308E-6
-0.40949208,  -1.9944247E-6
-0.41147538,  -2.0200225E-6
-0.41359190,  -2.0491181E-6
-0.41528035,  -2.0506093E-6
-0.41755224,  -2.0874484E-6
-0.41964212,  -2.0860069E-6
-0.42137961,  -2.1436225E-6
-0.42359832,  -2.1257553E-6
-0.42547436,  -2.1635200E-6
-0.42762378,  -2.1768033E-6
-0.42975457,  -2.1963239E-6
-0.43118141,  -2.1544294E-6
-0.43341205,  -2.2016114E-6
-0.43538267,  -2.2306926E-6
-0.43733323,  -2.2415753E-6
-0.43943316,  -2.2709652E-6
-0.44124245,  -2.2814308E-6
-0.44347166,  -2.3083615E-6
-0.44550474,  -2.3195927E-6
-0.44733389,  -2.3532883E-6
-0.44947431,  -2.3427498E-6
-0.45138745,  -2.3872464E-6
-0.45350148,  -2.3863162E-6
-0.45552980,  -2.3616646E-6
-0.45702592,  -2.4051110E-6
-0.45931751,  -2.4248471E-6
-0.46132153,  -2.4453398E-6
-0.46320171,  -2.4510662E-6
-0.46529879,  -2.4857959E-6
-0.46710289,  -2.4760375E-6
-0.46932539,  -2.5130718E-6
-0.47146800,  -2.5228009E-6
-0.47316906,  -2.5475629E-6
-0.47534813,  -2.5336022E-6
-0.47729213,  -2.5847692E-6
-0.47935771,  -2.5559911E-6
-0.48118524,  -2.5677292E-6
-0.48288945,  -2.6051580E-6
-0.48510894,  -2.6245890E-6
-0.48719332,  -2.6491232E-6
-0.48902140,  -2.6461985E-6
-0.49121825,  -2.6832698E-6
-0.49307603,  -2.6773182E-6
-0.49526675,  -2.6981867E-6
-0.49735015,  -2.7022839E-6
-0.49904341,  -2.7399437E-6
-0.50130473,  -2.7271400E-6
-0.50318077,  -2.7628042E-6
-0.50508079,  -2.7097126E-6
-0.50712400,  -2.7680150E-6
-0.50885823,  -2.7919093E-6
-0.51104003,  -2.8044161E-6
-0.51312634,  -2.8334117E-6
-0.51492462,  -2.8265029E-6
-0.51708555,  -2.8589267E-6
-0.51892132,  -2.8654851E-6
-0.52116025,  -2.8868089E-6
-0.52324506,  -2.8773036E-6
-0.52495606,  -2.9126228E-6
-0.52712344,  -2.9223876E-6
-0.52896006,  -2.8841916E-6
-0.53083851,  -2.9326317E-6
-0.53295108,  -2.9449332E-6
-0.53469786,  -2.9580123E-6
-0.53700610,  -2.9866555E-6
-0.53902632,  -3.0097487E-6
-0.54088667,  -3.0085323E-6
-0.54299386,  -3.0464940E-6
-0.54484646,  -3.0299862E-6
-0.54703803,  -3.0659437E-6
-0.54911770,  -3.0540229E-6
-0.55081391,  -3.0923590E-6
-0.55288492,  -3.0294771E-6
-0.55474257,  -3.0795576E-6
-0.55675955,  -3.0975666E-6
-0.55885718,  -3.1221413E-6
-0.56054402,  -3.1379253E-6
-0.56283814,  -3.1392749E-6
-0.56486688,  -3.1633587E-6
-0.56669703,  -3.1707909E-6
-0.56883389,  -3.2042992E-6
-0.57073819,  -3.1999884E-6
-0.57290026,  -3.2256068E-6
-0.57503064,  -3.2178377E-6
-0.57676418,  -3.2171319E-6
-0.57869361,  -3.2131788E-6
-0.58065722,  -3.2478785E-6
-0.58258665,  -3.2566982E-6
-0.58473321,  -3.2784261E-6
-0.58651366,  -3.2912535E-6
-0.58874778,  -3.2929429E-6
-0.59079873,  -3.3225769E-6
-0.59257756,  -3.3091132E-6
-0.59475097,  -3.3496136E-6
-0.59663097,  -3.3365698E-6
-0.59884883,  -3.3692633E-6
-0.60094630,  -3.3595949E-6
-0.60231415,  -3.3322194E-6
-0.60459022,  -3.3660490E-6
-0.60652616,  -3.3936567E-6
-0.60852062,  -3.4118817E-6
-0.61060241,  -3.4177094E-6
-0.61241212,  -3.4341138E-6
-0.61461855,  -3.4331568E-6
-0.61674893,  -3.4712787E-6
-0.61857325,  -3.4669031E-6
-0.62070027,  -3.4988392E-6
-0.62251677,  -3.4831427E-6
-0.62473113,  -3.5284910E-6
-0.62674635,  -3.4477504E-6
-0.62824167,  -3.5182832E-6
-0.63045753,  -3.5187413E-6
-0.63241658,  -3.5375227E-6
-0.63436714,  -3.5690993E-6
-0.63652911,  -3.5612313E-6
-0.63832658,  -3.5845208E-6
-0.64058660,  -3.5934169E-6
-0.64259906,  -3.6099600E-6
-0.64440992,  -3.6137274E-6
-0.64659215,  -3.6495766E-6
-0.64841664,  -3.6280105E-6
-0.65060829,  -3.6181168E-6
-0.65230125,  -3.6104191E-6
-0.65404209,  -3.6702460E-6
-0.65633522,  -3.6811370E-6
-0.65838126,  -3.6873862E-6
-0.66033022,  -3.7050778E-6
-0.66238940,  -3.6991006E-6
-0.66418929,  -3.7321999E-6
-0.66647182,  -3.7439851E-6
-0.66853754,  -3.7692048E-6
-0.67031800,  -3.7474979E-6
-0.67243105,  -3.7945703E-6
-0.67425961,  -3.7770844E-6
-0.67612382,  -3.7382358E-6
-0.67831538,  -3.7858159E-6
-0.68003838,  -3.8285206E-6
-0.68227731,  -3.8207255E-6
-0.68428439,  -3.8396935E-6
-0.68622217,  -3.8591817E-6
-0.68832016,  -3.8582791E-6
-0.69006126,  -3.8794295E-6
-0.69236060,  -3.8853949E-6
-0.69441834,  -3.9157753E-6
-0.69618820,  -3.9098662E-6
-0.69838400,  -3.9344936E-6
-0.70008345,  -3.8660450E-6
-0.70207905,  -3.9371672E-6
-0.70415953,  -3.9554310E-6
-0.70592216,  -3.9722225E-6
-0.70817180,  -3.9731900E-6
-0.71015053,  -3.9694662E-6
-0.71202333,  -4.0116787E-6
-0.71416522,  -4.0049514E-6
-0.71596980,  -4.0403042E-6
-0.71821131,  -4.0257167E-6
-0.72034426,  -4.0482799E-6
-0.72214387,  -4.0570665E-6
-0.72408471,  -4.0278858E-6
-0.72593389,  -4.0444851E-6
-0.72795666,  -4.0863997E-6
-0.73004169,  -4.0960064E-6
-0.73178241,  -4.1128632E-6
-0.73407565,  -4.1341900E-6
-0.73602877,  -4.1393452E-6
-0.73796471,  -4.1493232E-6
-0.73999374,  -4.1601856E-6
-0.74179688,  -4.1872560E-6
-0.74399395,  -4.1774562E-6
-0.74608519,  -4.2070636E-6
-0.74763883,  -4.1656627E-6
-0.74971384,  -4.2104902E-6
-0.75167441,  -4.2223227E-6
-0.75362968,  -4.2648474E-6
-0.75571052,  -4.2530519E-6
-0.75751961,  -4.2740154E-6
-0.75978122,  -4.2980469E-6
-0.76188794,  -4.2986580E-6
-0.76378116,  -4.3362791E-6
-0.76585970,  -4.3350032E-6
-0.76767784,  -4.3534622E-6
-0.76986126,  -4.3435158E-6
-0.77198770,  -4.3736663E-6
-0.77335865,  -4.3114519E-6
-0.77558981,  -4.3853745E-6
-0.77760517,  -4.4029257E-6
-0.77956700,  -4.4423381E-6
-0.78167639,  -4.4400346E-6
-0.78351517,  -4.4622188E-6
-0.78570208,  -4.4964049E-6
-0.78779214,  -4.4915098E-6
-0.78951533,  -4.5058315E-6
-0.79169387,  -4.5113198E-6
-0.79353365,  -4.5430531E-6
-0.79572236,  -4.5621790E-6
-0.79766125,  -4.5214577E-6
-0.79922656,  -4.5517930E-6
-0.80148331,  -4.6027455E-6
-0.80350976,  -4.6221388E-6
-0.80550593,  -4.6461820E-6
-0.80752166,  -4.6712362E-6
-0.80930943,  -4.6917568E-6
-0.81152771,  -4.7085561E-6
-0.81360625,  -4.7260683E-6
-0.81541846,  -4.7598021E-6
-0.81757703,  -4.7730404E-6
-0.81942066,  -4.8125161E-6
-0.82153237,  -4.7624483E-6
-0.82338820,  -4.8320802E-6
-0.82513787,  -4.8615173E-6
-0.82743136,  -4.9291973E-6
-0.82942618,  -4.9465723E-6
-0.83132278,  -4.9777139E-6
-0.83344107,  -4.9988806E-6
-0.83527347,  -5.1009722E-6
-0.83746819,  -5.1717568E-6
-0.83956638,  -5.2097702E-6
-0.84130774,  -5.2536107E-6
-0.84347701,  -5.2646460E-6
-0.84528464,  -5.2576864E-6
-0.84718696,  -5.2623246E-6
-0.84929654,  -5.3253434E-6
-0.85099476,  -5.3562467E-6
-0.85330756,  -5.3823912E-6
-0.85531320,  -5.3683561E-6
-0.85720799,  -5.4186276E-6
-0.85926940,  -5.4353534E-6
-0.86112113,  -5.4506028E-6
-0.86333005,  -5.4765936E-6
-0.86548235,  -5.4578525E-6
-0.86723774,  -5.5074610E-6
-0.86937883,  -5.5268429E-6
-0.87103431,  -5.4745661E-6
-0.87306911,  -5.5033506E-6
-0.87517036,  -5.5831220E-6
-0.87690543,  -5.5646339E-6
-0.87917838,  -5.6043823E-6
-0.88118658,  -5.6324381E-6
-0.88306329,  -5.6280242E-6
-0.88524407,  -5.6689764E-6
-0.88707255,  -5.6692995E-6
-0.88923250,  -5.6971643E-6
-0.89135802,  -5.7145921E-6
-0.89302364,  -5.7575587E-6
-0.89501775,  -5.6669512E-6
-0.89694725,  -5.7772682E-6
-0.89894868,  -5.7790940E-6
-0.90107841,  -5.8247663E-6
-0.90283846,  -5.8174629E-6
-0.90508864,  -5.8779415E-6
-0.90711153,  -5.8643004E-6
-0.90899567,  -5.9003347E-6
-0.91111626,  -5.9428348E-6
-0.91294053,  -5.9519040E-6
-0.91515030,  -5.9681177E-6
-0.91724971,  -5.9817779E-6
-0.91883270,  -5.9902953E-6
-0.92088061,  -5.9871259E-6
-0.92284097,  -6.0500092E-6
-0.92479940,  -6.0467574E-6
-0.92700431,  -6.1127190E-6
-0.92873019,  -6.1104518E-6
-0.93095079,  -6.1559315E-6
-0.93300179,  -6.1844661E-6
-0.93494994,  -6.1924658E-6
-0.93696933,  -6.2373211E-6
-0.93887291,  -6.2812122E-6
-0.94104920,  -6.3062085E-6
-0.94313206,  -6.2535347E-6
-0.94456287,  -6.3113770E-6
-0.94679025,  -6.3295744E-6
-0.94879904,  -6.4083499E-6
-0.95077228,  -6.4215280E-6
-0.95286183,  -6.4676162E-6
-0.95464262,  -6.4839540E-6
-0.95689289,  -6.5252381E-6
-0.95889922,  -6.5679711E-6
-0.96076808,  -6.5879499E-6
-0.96286716,  -6.6458574E-6
-0.96473797,  -6.6599631E-6
-0.96690003,  -6.6950884E-6
-0.96876796,  -6.6209843E-6
-0.97042855,  -6.7291276E-6
-0.97265936,  -6.7531218E-6
-0.97466338,  -6.8030484E-6
-0.97664666,  -6.8555762E-6
-0.97871030,  -6.9159010E-6
-0.98048435,  -6.9539929E-6
-0.98271010,  -6.9834605E-6
-0.98474018,  -7.0438244E-6
-0.98661460,  -7.0973579E-6
